FlightID,RouteCode,Airline,DepartureAirport,ArrivalAirport,DepartureCity,ArrivalCity,DepartureCountry,ArrivalCountry,DistanceKM,FlightDurationMin,AircraftType,WeeklyFrequency,Stops,Alliance,BaseFareUSD
FL001,BOM-DEL,Air India,MUMBAI (BOM),DELHI (DEL),Mumbai,Delhi,India,India,1134,140,A320,42,0,Star Alliance,120
FL002,JFK-LHR,British Airways,JFK (JFK),HEATHROW (LHR),New York,London,USA,UK,5556,420,B777,28,0,oneworld,650
FL003,DXB-LHR,Emirates,DXB (DXB),HEATHROW (LHR),Dubai,London,UAE,UK,5500,420,A380,35,0,Emirates,700
FL004,SIN-SYD,Singapore Airlines,CHANGI (SIN),SYDNEY (SYD),Singapore,Sydney,Singapore,Australia,6300,480,A350,21,0,Star Alliance,550
FL005,LAX-NRT,American Airlines,LAX (LAX),NARITA (NRT),Los Angeles,Tokyo,USA,Japan,8817,600,B787,14,0,oneworld,850
FL006,CDG-FRA,Air France,CHARLES DE GAULLE (CDG),FRANKFURT (FRA),Paris,Frankfurt,France,Germany,450,70,A320,56,0,SkyTeam,150
FL007,HKG-PVG,Cathay Pacific,HONG KONG (HKG),SHANGHAI (PVG),Hong Kong,Shanghai,Hong Kong,China,1250,180,A330,49,0,oneworld,250
FL008,ORD-DFW,United Airlines,O'HARE (ORD),DALLAS (DFW),Chicago,Dallas,USA,USA,1290,150,B737,63,0,Star Alliance,200
FL009,MIA-GRU,American Airlines,MIAMI (MIA),GUARULHOS (GRU),Miami,Sao Paulo,USA,Brazil,6840,480,B777,21,0,oneworld,600
FL010,AMS-IST,KLM,AMSTERDAM (AMS),ISTANBUL (IST),Amsterdam,Istanbul,Netherlands,Turkey,2200,210,A330,28,0,SkyTeam,300
FL011,BKK-KUL,Thai Airways,BANGKOK (BKK),KUALA LUMPUR (KUL),Bangkok,Kuala Lumpur,Thailand,Malaysia,1200,130,A320,35,0,Star Alliance,100
FL012,YVR-YYZ,Air Canada,VANCOUVER (YVR),TORONTO (YYZ),Vancouver,Toronto,Canada,Canada,3360,260,B787,42,0,Star Alliance,350
FL013,MAD-BCN,Iberia,MADRID (MAD),BARCELONA (BCN),Madrid,Barcelona,Spain,Spain,483,65,A320,70,0,oneworld,80
FL014,ICN-PEK,Korean Air,INCHEON (ICN),BEIJING (PEK),Seoul,Beijing,South Korea,China,954,120,B737,56,0,SkyTeam,180
FL015,ATL-MCO,Delta,ATLANTA (ATL),ORLANDO (MCO),Atlanta,Orlando,USA,USA,645,85,B737,84,0,SkyTeam,120
FL016,ZRH-VIE,Swiss,ZURICH (ZRH),VIENNA (VIE),Zurich,Vienna,Switzerland,Austria,590,75,ERJ-190,42,0,Star Alliance,130
FL017,AUH-CAI,Etihad,ABU DHABI (AUH),CAIRO (CAI),Abu Dhabi,Cairo,UAE,Egypt,2370,210,A320,28,0,Etihad,250
FL018,DOH-DXB,Qatar Airways,DOHA (DOH),DUBAI (DXB),Doha,Dubai,Qatar,UAE,380,55,A320,63,0,oneworld,150
FL019,LHR-EDI,British Airways,HEATHROW (LHR),EDINBURGH (EDI),London,Edinburgh,UK,UK,533,70,A320,77,0,oneworld,90
